SourceFile,GPSLatitude,GPSLongitude,GPSAltitude
20180203_183903.jpg,-35.4763888889,-70.9888888889,1140
20180203_184615.jpg,-35.4761111111,-70.9875,1093
20180203_184632.jpg,-35.4761111111,-70.9872222222,
20180203_184640.jpg,-35.4761111111,-70.9872222222,
20180203_191530.jpg,-35.4763888889,-70.9869444444,1134
20180203_200059.jpg,-35.4763888889,-70.9872222222,1153
20180203_200117.jpg,-35.4763888889,-70.9869444444,
20180203_200136.jpg,-35.4763888889,-70.9869444444,
20180203_200155.jpg,-35.4763888889,-70.9869444444,
20180203_201203.jpg,-35.4763888889,-70.9861111111,1154
20180203_201214.jpg,-35.4763888889,-70.9861111111,1154
20180203_201224.jpg,-35.4763888889,-70.9861111111,1154
20180203_201227.jpg,-35.4763888889,-70.9861111111,1154
20180204_094819.jpg,-35.4730555556,-70.9922222222,1140
20180204_114838.jpg,-35.4913888889,-70.9422222222,1402
20180204_124931.jpg,-35.4913888889,-70.9422222222,1402
20180204_124934.jpg,-35.4983333333,-70.9302777778,1532
20180204_124937.jpg,-35.4983333333,-70.9302777778,1532
20180204_124941.jpg,-35.4983333333,-70.9302777778,1532
20180204_125002(0).jpg,-35.4983333333,-70.9302777778,1519
20180204_125002.jpg,-35.4983333333,-70.9302777778,1519
20180204_125005.jpg,-35.4983333333,-70.9302777778,1519
20180204_125009.jpg,-35.4983333333,-70.9302777778,1519
20180204_125024.jpg,-35.4983333333,-70.9302777778,1519
20180204_125036.jpg,-35.4983333333,-70.9302777778,1519
20180204_125053.jpg,-35.4983333333,-70.9302777778,1532
20180204_125100.jpg,-35.4980555556,-70.93,
20180204_125102.jpg,-35.4980555556,-70.93,
20180204_125111.jpg,-35.4980555556,-70.93,
20180204_131405.jpg,-35.4983333333,-70.9302777778,1524
20180204_131424.jpg,-35.4983333333,-70.9302777778,1524
20180204_132638.jpg,-35.4983333333,-70.9302777778,1534
20180204_132648.jpg,-35.4983333333,-70.9302777778,1534
20180204_132709.jpg,-35.4983333333,-70.9302777778,1534
20180204_135552.jpg,-35.4983333333,-70.9302777778,1546
20180204_152303.jpg,-35.4983333333,-70.9302777778,1544
20180204_152305.jpg,-35.4983333333,-70.9302777778,1544
20180204_152307.jpg,-35.4983333333,-70.9302777778,1544
20180204_152310.jpg,-35.4983333333,-70.9302777778,1544
20180204_152915.jpg,-35.4983333333,-70.9302777778,1544
20180204_152929.jpg,-35.4969444444,-70.9083333333,1709
20180204_152935.jpg,-35.4969444444,-70.9083333333,1709
20180204_152936.jpg,-35.4969444444,-70.9083333333,1709
20180204_152939.jpg,-35.4969444444,-70.9083333333,1709
20180204_153352.jpg,-35.4961111111,-70.9069444444,
20180204_153358.jpg,-35.4963888889,-70.9069444444,1702
20180204_153639.jpg,-35.4955555556,-70.9063888889,1708
20180204_154517.jpg,-35.4955555556,-70.9063888889,1708
20180204_154522.jpg,-35.4977777778,-70.9047222222,1706
20180204_154528.jpg,-35.4977777778,-70.9047222222,1702
20180204_160617.jpg,-35.4977777778,-70.9047222222,1704
20180204_175859.jpg,-35.4977777778,-70.9044444444,
20180204_190853.jpg,-35.4977777778,-70.9047222222,1691
20180204_190856.jpg,-35.4969444444,-70.9044444444,1716
20180204_190906.jpg,-35.4969444444,-70.9044444444,1716
20180204_190914.jpg,-35.4969444444,-70.9044444444,1716
20180204_190919.jpg,-35.4969444444,-70.9044444444,1716
20180204_190925.jpg,-35.4969444444,-70.9044444444,1716
20180204_190948.jpg,-35.4969444444,-70.9044444444,1716
20180204_191103.jpg,-35.4972222222,-70.9044444444,1657
20180204_191115.jpg,-35.4969444444,-70.9044444444,1688
20180204_192712.jpg,-35.4977777778,-70.9047222222,1698
20180204_192715.jpg,-35.4977777778,-70.9047222222,1698
20180204_192733.jpg,-35.4977777778,-70.9044444444,
20180204_192735.jpg,-35.4977777778,-70.9044444444,
20180204_192749.jpg,-35.4977777778,-70.9044444444,
20180204_192755.jpg,-35.4977777778,-70.9047222222,
20180204_192804.jpg,-35.4977777778,-70.9047222222,
20180204_192914.jpg,-35.4977777778,-70.9047222222,1701
20180204_192926.jpg,-35.4977777778,-70.9047222222,1701
20180204_192938.jpg,-35.4977777778,-70.9047222222,1701
20180204_192941.jpg,-35.4977777778,-70.9047222222,1701
20180204_192943.jpg,-35.4977777778,-70.9047222222,1701
